path,action,reason
python day36_diagnose_cagr_distribution.py,DELETE,Malformed filename — looks like 'python day36_diagnose_cagr_distribution.py' was accidentally saved as a filename instead of being run as a command. The real script (day36_diagnose_cagr_distribution.py) already exists separately.
run exploratory queries.py,DELETE,Duplicate of run_exploratory_queries.py with a space in the filename — almost certainly an accidental re-save. Keep the underscore version.
tcs_test.pdf,DELETE,Stray root-level test artifact from Day 33 tearsheet development — superseded by reports/tearsheets_test/TCS_tearsheet.pdf and the real batch output reports/tearsheets/TCS_tearsheet.pdf.
"# Sprint 5 Retrospective — Intelligence,.md",RENAME:sprint5_retro.md,"Filename looks like a doc title got saved directly as a filename (truncated, with a leading '#' and trailing comma). Content is very likely the missing Sprint 5 retro referenced nowhere else in the tree — renaming preserves it instead of losing it."
notebooks/Exploratory queries.sql,RENAME:notebooks/exploratory_queries.sql,"D-04's tracker path is notebooks/exploratory_queries.sql (lowercase, underscore) — this file has a capitalized name with a space. Rename to match the tracker rather than deleting; output/exploratory_queries.sql remains the actively-maintained copy per Day 45's note."
reports/radar_charts_preview,FOLDER_DELETE,Day 19's 4-ticker visual preview (TCS/HDFCLIFE/HAL/PIDILITIND) before committing to the full 92-chart batch. Superseded by reports/radar_charts/ (92/92 confirmed present). Safe to remove.
reports/tearsheets_test,FOLDER_DELETE,Day 33's 5-company test batch (TCS/HDFCBANK/RELIANCE/SUNPHARMA/TATASTEEL) before the full run. Superseded by reports/tearsheets/ (91/92 confirmed present). Safe to remove.
day36_diagnose_singleton_cluster.txt,REVIEW,"Same base name as day36_diagnose_singleton_cluster.py — likely that script's captured console output. Harmless to keep, but confirm it's not an accidental duplicate before archiving with the script."
day40.py,REVIEW,"Generic name, unclear purpose from filename alone — check contents before archiving; may be a superseded early draft of a Day 40 endpoint test rather than a kept diagnostic."
check_analysis_shape.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_company_duplicates.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_hal_balancesheet.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_hal_cross_validate.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_hal_equity_values.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_hal_raw_excel.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_opm_anomaly.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_opm_sector_pattern.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
check_sbin_balancesheet.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day16_run_presets.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day16_run_turnaround.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day17_run_composite.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day21_verify_quality_compounder.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day36_diagnose_cagr_distribution.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day36_diagnose_singleton_cluster.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day37_diagnose_hindalco.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day37_diagnose_opm.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day37_diagnose_opm_distribution.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day38_diagnose_db_path.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
day40_diagnose_null_string.py,ARCHIVE,"Diagnostic/day-script at project root — spec Section 19 doesn't list loose diagnostic scripts at root; moved to scripts/diagnostics/ for a clean deliverable tree, kept (not deleted) since PROGRESS.md cites it as real evidence."
