company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,87.2
ABB,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,63.4
ABB,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.8
ABB,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,76.5
ABB,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ABB,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,86.5
ABB,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
ADANIENSOL,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.6
ADANIENSOL,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.8
ADANIENSOL,con,CON01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,78.7
ADANIENSOL,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,68.3
ADANIENT,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.7
ADANIENT,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIENT,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,68.1
ADANIGREEN,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,CON01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71.0
ADANIGREEN,con,CON11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIPORTS,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.2
ADANIPORTS,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,74.0
ADANIPORTS,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
ADANIPOWER,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ADANIPOWER,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
ADANIPOWER,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62.9
ADANIPOWER,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.4
ADANIPOWER,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIPOWER,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,100.0
ADANIPOWER,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
AMBUJACEM,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
AMBUJACEM,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
APOLLOHOSP,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
APOLLOHOSP,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,92.3
APOLLOHOSP,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,76.3
APOLLOHOSP,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.9
APOLLOHOSP,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
APOLLOHOSP,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
ASIANPAINT,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76.2
ASIANPAINT,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ASIANPAINT,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,60.6
ASIANPAINT,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ASIANPAINT,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,65.6
ASIANPAINT,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75.9
ASIANPAINT,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,89.4
ASIANPAINT,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.0
ASIANPAINT,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,60.7
ATGL,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.2
ATGL,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67.8
ATGL,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,61.3
ATGL,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.5
ATGL,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.2
ATGL,con,NODATA_FALLBACK,Insufficient historical data available to assess business risks in detail,61.0
AXISBANK,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79.4
AXISBANK,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.3
AXISBANK,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
AXISBANK,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,89.9
BAJAJ-AUTO,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,67.0
BAJAJ-AUTO,pro,PRO02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
BAJAJ-AUTO,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,81.2
BAJAJ-AUTO,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,64.9
BAJAJ-AUTO,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,62.5
BAJAJFINSV,pro,PRO01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,71.4
BAJAJFINSV,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.9
BAJAJFINSV,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84.1
BAJAJFINSV,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67.5
BAJAJFINSV,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.9
BAJAJFINSV,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.1
BAJAJFINSV,con,CON02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100.0
BAJAJFINSV,con,CON08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,91.4
BAJAJHLDNG,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
BAJAJHLDNG,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJHLDNG,pro,PRO08,Consistent dividend yield above 2% backed by positive free cash flow,78.3
BAJAJHLDNG,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.6
BAJAJHLDNG,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.8
BAJAJHLDNG,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,100.0
BAJAJHLDNG,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,88.7
BAJFINANCE,pro,PRO04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.9
BAJFINANCE,pro,PRO05,Operating profit margin above 25% indicates strong pricing power and cost discipline,68.6
BAJFINANCE,pro,PRO06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78.6
BAJFINANCE,pro,PRO07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,PRO09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.5
BAJFINANCE,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.9
BAJFINANCE,con,CON02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100.0
BAJFINANCE,con,CON03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,93.0
BAJFINANCE,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83.3
